resource_code,name,resource_type,category,unit,base_price,min_price,max_price,currency,usage_count,source,region,specifications,is_active
DXME-RIME-KALI_KAMEME,Electricity: consumption KA.LITO kWh/machine-hour,electricity,Electricity,Machine hours,0.1,0.1,0.1,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 0.1, ""price_variants_count"": 1, ""avg_cost_per_use"": 2.03, ""avg_quantity_per_use"": 20.955, ""used_in_rate_codes"": 18, ""row_type"": ""Electricity"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Floors"", ""parent_department"": ""FLOORS"", ""parent_section"": ""Installation of concrete, cement-concrete, and metal-cement coatings"", ""machine_class"": ""Mechanized tools, devices, machines, other units"", ""electricity_kwh_per_hour"": 0.73, ""electricity_cost_per_unit"": 0.1}",True
KAPU-TO-KAME-MERI_KAKAKAPU,"Masonry mortar, cement-lime, M75",material,Concrete & Cement,m3,135.47,135.47,135.47,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 135.47, ""price_variants_count"": 1, ""avg_cost_per_use"": 125.06, ""avg_quantity_per_use"": 1.0388, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Communication, radio broadcasting, and television facilities"", ""parent_department"": ""COMMUNICATIONS, RADIO BROADCASTING AND TELEVISION FACILITIES"", ""parent_section"": ""ACOUSTIC TREATMENT OF ROOMS""}",True
KAME-LI-MESA-KARI_KAKANERI,"Galvanized steel bolts with hexagonal heads, thread diameter M8 (M10, M12, M14), length 16-190 mm",material,Steel & Metal,t,3709.32,3709.32,3709.32,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 3709.32, ""price_variants_count"": 1, ""avg_cost_per_use"": 35.4, ""avg_quantity_per_use"": 0.0178, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Metal building structures"", ""parent_department"": ""STRUCTURAL ELEMENTS OF BUILDINGS AND STRUCTURES"", ""parent_section"": ""STRUCTURAL ELEMENTS OF BUILDING COVERINGS""}",True
KAME-LI-MESA-MEPU_KAMELISA,"Self-tapping steel screws with a semi-circular head and a straight slot, pointed, diameter 8 mm, length 60 mm",material,Steel & Metal,t,3474.59,3474.59,3474.59,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 3474.59, ""price_variants_count"": 1, ""avg_cost_per_use"": 3.48, ""avg_quantity_per_use"": 0, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Brick and block structures"", ""parent_department"": ""PARTITIONS"", ""parent_section"": ""Installation of partitions made of gypsum and lightweight concrete slabs""}",True
DXME-KALI-KARI_KARIME,"Trailer-mounted electric concrete pumps, capacity 60 m3/h",equipment,Pumps,Machine hours,19.77,19.77,19.77,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 19.77, ""price_variants_count"": 1, ""avg_cost_per_use"": 857.8, ""avg_quantity_per_use"": 43.38, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Railways"", ""parent_department"": ""SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM"", ""parent_section"": ""LAYING AND DISMANTLING OF TRACKS"", ""machine_class"": ""Machines for preparing, feeding, and laying concrete and mortar"", ""machinist_grade"": ""5.0"", ""electricity_kwh_per_hour"": 24.75, ""electricity_cost_per_unit"": 3.3}",True
KAVO-TO-MEME-KAME_MEMEKAPU,"Hot-rolled steel channels, steel grades St3ps, St3sp, No. 27U-30U, No. 27P-30P",material,Steel & Metal,t,1831.24,1831.24,1831.24,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 1831.24, ""price_variants_count"": 1, ""avg_cost_per_use"": 333.67, ""avg_quantity_per_use"": 0.2717, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Wells"", ""parent_department"": ""WELL DRILLING"", ""parent_section"": ""OTHER TYPES OF DRILLING""}",True
KAME-ME-KAME-KASA,Chrysotile cement wall panels,abstract_material,Concrete & Cement,m2,16.17,13.24,30.84,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 13.24, ""price_variants_count"": 2, ""avg_cost_per_use"": 1077.6, ""avg_quantity_per_use"": 81.1188, ""used_in_rate_codes"": 17, ""row_type"": ""Abstract resource"", ""is_material"": false, ""is_machine"": false, ""is_abstract"": true, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Precast concrete and reinforced concrete structures"", ""parent_department"": ""CHRYSOTILE CEMENT STRUCTURES"", ""parent_section"": ""Construction of walls"", ""abstract_variant_count"": 12, ""abstract_price_min"": 6.21, ""abstract_price_max"": 134.04, ""abstract_price_mean"": 30.84, ""abstract_tech_group"": ""RIPU-KAME-KAMERI"", ""abstract_variable_parts"": ""Flat fiber cement (chrysotile cement) sheets with stone chips 3-5 mm in diameter, thickness 8 mm • Flat non-pressed chrysotile cement sheets, thickness 10 mm • Flat non-pressed chrysotile cement sheets, thickness 12 mm • Flat non-pressed chrysotile cement sheets, thickness 6 mm • Flat non-pressed ch""}",True
KAME-LI-MESA-MEPU_KAMEDXNE,"Self-tapping steel screws with hexagonal head, drill tip, diameter 20 mm, length 80 mm",material,Steel & Metal,t,3016.45,3016.45,3016.45,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 3016.45, ""price_variants_count"": 1, ""avg_cost_per_use"": 18.27, ""avg_quantity_per_use"": 0.01, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Precast concrete and reinforced concrete structures"", ""parent_department"": ""CHRYSOTILE CEMENT STRUCTURES"", ""parent_section"": ""Installation of 3 m high partitions made of chrysotile cement extruded panels in industrial building""}",True
KAVO-TO-KATO-KAPU_KAKAMEME,"Light wire, diameter KA.SASA mm",material,Electrical,t,2782.5,2782.5,2782.5,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 2782.5, ""price_variants_count"": 1, ""avg_cost_per_use"": 330.04, ""avg_quantity_per_use"": 0.14, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""EQUIPMENT INSTALLATION"", ""parent_collection"": ""Electrical installations"", ""parent_department"": ""DISTRIBUTION DEVICES AND SUBSTATIONS"", ""parent_section"": ""CLOSED DISTRIBUTION DEVICES 35-220 KV""}",True
KAME-LI-MESA-KALI_KAKAKAVO,"Plastic dowels with screws, diameter 8 mm, length 40 mm, screw diameter 5 mm, screw length 40 mm",material,Fasteners,100 pcs,11.39,11.39,11.39,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 11.39, ""price_variants_count"": 1, ""avg_cost_per_use"": 69.75, ""avg_quantity_per_use"": 6.4859, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Metal building structures"", ""parent_department"": ""MISCELLANEOUS WORKS"", ""parent_section"": ""OTHER STEEL PRODUCTS""}",True
KAME-LI-MESA-MEME_KAKAPUME,"Galvanized steel washers, round, hole diameter M4-6",material,Steel & Metal,kg,6.51,6.51,6.51,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 6.51, ""price_variants_count"": 1, ""avg_cost_per_use"": 2.49, ""avg_quantity_per_use"": 0.4921, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Metal building structures"", ""parent_department"": ""MISCELLANEOUS WORKS"", ""parent_section"": ""SURFACE COATING, WELDING, BOLT INSTALLATION AND OTHER WORK""}",True
DXME-KASA-KANE_KATOPU,"Cranes on crawler tracks, lifting capacity 600 tons",equipment,Cranes,Machine hours,1055.27,1055.27,1055.27,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 1055.27, ""price_variants_count"": 1, ""avg_cost_per_use"": 29178.27, ""avg_quantity_per_use"": 27.65, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""EQUIPMENT INSTALLATION"", ""parent_collection"": ""Equipment for chemical and oil refining plants"", ""parent_department"": ""GENERAL PURPOSE EQUIPMENT"", ""parent_section"": ""EQUIPMENT SUPPLIED IN ASSEMBLED FORM"", ""machine_class"": ""Cranes, except floating"", ""machinist_grade"": ""9.5""}",True
RITO-SA-KARI-KARI_KAMEKAKA,"Electric-welded straight-seam steel pipes made of St2, 10 steel, outer diameter 325 mm, wall thickness 6 mm",material,Steel & Metal,m,91.69,91.69,91.69,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 91.69, ""price_variants_count"": 1, ""avg_cost_per_use"": 881.47, ""avg_quantity_per_use"": 9.6133, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Internal piping"", ""parent_department"": ""STEEL PIPE PIPING"", ""parent_section"": ""Laying heating and water supply pipelines from steel electric-welded pipes""}",True
DXME-MELI-KARI_KATOSA,Handheld spark flaw detectors for checking the continuity of protective coatings on metal structures,equipment,General,Machine hours,0.51,0.51,0.51,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 0.51, ""price_variants_count"": 1, ""avg_cost_per_use"": 1.19, ""avg_quantity_per_use"": 2.3294, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Main and industrial pipelines"", ""parent_department"": ""QUALITY CONTROL OF WELDED JOINTS USING PHYSICAL METHODS"", ""parent_section"": ""INSULATION QUALITY CONTROL"", ""machine_class"": ""Devices for heat treatment, welding, testing, and inspection of welded joints""}",True
DXME-RIME-MENE_KAMEPU,"Crank presses for bending sheet metal, 1000 kN (100 tf)",equipment,General,Machine hours,7.04,7.04,7.04,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 7.04, ""price_variants_count"": 1, ""avg_cost_per_use"": 5.95, ""avg_quantity_per_use"": 0.845, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""EQUIPMENT INSTALLATION"", ""parent_collection"": ""Devices, automation and computing equipment"", ""parent_department"": ""STRUCTURES FOR INSTALLING INSTRUMENTS AND AUTOMATION EQUIPMENT"", ""parent_section"": ""Structures for installing devices"", ""machine_class"": ""Mechanized tools, devices, machines, other units"", ""machinist_grade"": ""4.0"", ""electricity_kwh_per_hour"": 4.53, ""electricity_cost_per_unit"": 0.6}",True
RITO-TO-KATO-KARI_KAKATOSA,"Seamless hot-rolled steel pipes with chamfered edges, made of steel grades 10, 20, 35, outer diameter 57 mm, wall thickness 6 mm",material,Steel & Metal,m,29.6,29.6,29.6,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 29.6, ""price_variants_count"": 1, ""avg_cost_per_use"": 682.42, ""avg_quantity_per_use"": 23.0522, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""EQUIPMENT INSTALLATION"", ""parent_collection"": ""Rolling mill equipment"", ""parent_department"": ""THICK AND LIQUID LUBRICATION SYSTEMS"", ""parent_section"": ""THICK LUBRICANT SYSTEMS""}",True
DXME-KADX-KALI_KAMEPU,"Crushed stone cleaning machines, capacity 400-600 m3/h, non-self-propelled",equipment,General,Machine hours,358.75,358.75,358.75,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 358.75, ""price_variants_count"": 1, ""avg_cost_per_use"": 5305.1, ""avg_quantity_per_use"": 14.7878, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Railways"", ""parent_department"": ""SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM"", ""parent_section"": ""REPLACEMENT OF POINT SWITCHES"", ""machine_class"": ""Railway construction machinery"", ""machinist_grade"": ""7.8""}",True
KAME-LI-MEME-KALI_KAKAPURI,"Welding electrodes for welding low-alloy and carbon steels E60, diameter 4 mm",material,Steel & Metal,t,3982.99,3982.99,3982.99,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 3982.99, ""price_variants_count"": 1, ""avg_cost_per_use"": 51.42, ""avg_quantity_per_use"": 0.015, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Main and industrial pipelines"", ""parent_department"": ""MANUFACTURING OF BENT ELBOWS AND INSTALLATION OF PIPE BEND ANGLES"", ""parent_section"": ""Installation of hot-bent elbows""}",True
DXME-KAME-KASA_MEMEVO,Electricity: consumption PUKA.SA kW·h/machine-hour,electricity,Electricity,Machine hours,5.4,5.4,5.4,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 5.4, ""price_variants_count"": 1, ""avg_cost_per_use"": 95.66, ""avg_quantity_per_use"": 17.7083, ""used_in_rate_codes"": 18, ""row_type"": ""Electricity"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""EXCAVATION AND FILLING OF EMBANKMENTS FOR RAILWAYS AND ROADS"", ""machine_class"": ""Earthmoving machinery"", ""machinist_grade"": ""6.5"", ""electricity_kwh_per_hour"": 40.5, ""electricity_cost_per_unit"": 5.4}",True
DXME-KATO-MEKA_KAKAVO,"Hand-held pneumatic drilling machines for use with mobile compressor units, drilling diameter up to 35 mm",equipment,Compressors,Machine hours,0.71,0.71,0.71,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 0.71, ""price_variants_count"": 1, ""avg_cost_per_use"": 29.19, ""avg_quantity_per_use"": 40.9839, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Tunneling works"", ""parent_department"": ""MINING WORKS PERFORMED BY CONVENTIONAL METHODS"", ""parent_section"": ""PERMANENT ROD SUPPORTS FOR HORIZONTAL AND INCLINED WORKINGS AND CHAMBERS"", ""machine_class"": ""Machines and units for tunnel construction, mining, and subway construction""}",True
KARI-RI-KASA-KAPU_RIKADXRI,"Crushed stone from dense rock for construction work M 1000, fraction 20-40 mm",material,Aggregates & Earth,m3,64.88,64.88,64.88,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 64.88, ""price_variants_count"": 1, ""avg_cost_per_use"": 1001.1, ""avg_quantity_per_use"": 15.4306, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Motorways"", ""parent_department"": ""CONSTRUCTION OF FOUNDATIONS AND COVERINGS"", ""parent_section"": ""SOFT ROAD CLOTHING""}",True
DXME-KAME-KASA_MEMEVO,"Single-bucket electric crawler excavators, bucket capacity RI.SA m3",equipment,Excavators,Machine hours,72.63,72.63,72.63,EUR,18,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 72.63, ""price_variants_count"": 1, ""avg_cost_per_use"": 1286.12, ""avg_quantity_per_use"": 17.7083, ""used_in_rate_codes"": 18, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""EXCAVATION AND FILLING OF EMBANKMENTS FOR RAILWAYS AND ROADS"", ""machine_class"": ""Earthmoving machinery"", ""machinist_grade"": ""6.5"", ""electricity_kwh_per_hour"": 40.5, ""electricity_cost_per_unit"": 5.4}",True
RITO-TO-KATO-KARI_KAKAVORI,"Seamless hot-rolled steel pipes with chamfered edges, made of steel grades 10, 20, 35, outer diameter 108 mm, wall thickness 9 mm",material,Steel & Metal,m,66.9,66.9,66.9,EUR,17,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 66.9, ""price_variants_count"": 1, ""avg_cost_per_use"": 7.67, ""avg_quantity_per_use"": 0.1147, ""used_in_rate_codes"": 17, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""EQUIPMENT INSTALLATION"", ""parent_collection"": ""Equipment for chemical and oil refining plants"", ""parent_department"": ""GENERAL PURPOSE EQUIPMENT"", ""parent_section"": ""EQUIPMENT SUPPLIED IN LARGE BLOCKS""}",True
RITO-TO-KATO-KARI_KAMENEME,"Seamless hot-rolled steel pipes with chamfered edges, steel grades 10, 20, 35, outer diameter 219 mm, wall thickness 10 mm",material,Steel & Metal,m,159.97,159.97,159.97,EUR,17,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 159.97, ""price_variants_count"": 1, ""avg_cost_per_use"": 54.86, ""avg_quantity_per_use"": 0.3429, ""used_in_rate_codes"": 17, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""EQUIPMENT INSTALLATION"", ""parent_collection"": ""Equipment for chemical and oil refining plants"", ""parent_department"": ""GENERAL PURPOSE EQUIPMENT"", ""parent_section"": ""EQUIPMENT SUPPLIED IN LARGE BLOCKS""}",True
RITO-TO-KATO-KARI_KAMENELI,"Seamless hot-rolled steel pipes with chamfered edges, steel grades 10, 20, 35, outer diameter 273 mm, wall thickness 12 mm",material,Steel & Metal,m,244.17,244.17,244.17,EUR,17,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 244.17, ""price_variants_count"": 1, ""avg_cost_per_use"": 235.26, ""avg_quantity_per_use"": 0.9635, ""used_in_rate_codes"": 17, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""EQUIPMENT INSTALLATION"", ""parent_collection"": ""Equipment for chemical and oil refining plants"", ""parent_department"": ""GENERAL PURPOSE EQUIPMENT"", ""parent_section"": ""EQUIPMENT SUPPLIED IN LARGE BLOCKS""}",True
DXME-KADX-MEPU_KATOME,Culvert cleaning machines,equipment,General,Machine hours,477.54,477.54,477.54,EUR,17,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 477.54, ""price_variants_count"": 1, ""avg_cost_per_use"": 1582.62, ""avg_quantity_per_use"": 3.3141, ""used_in_rate_codes"": 17, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Railways"", ""parent_department"": ""SUPERSTRUCTURE OF RAILWAY TRACKS WITH A GAUGE OF 1520 MM"", ""parent_section"": ""REPLACEMENT OF POINT SWITCHES"", ""machine_class"": ""Railway construction machinery"", ""machinist_grade"": ""6.7""}",True
DXME-RIME-RIRI_LIKAME,"Push-type electric arc metallization units, sprayed material: metal wire, capacity up to 30 kg/h, power up to 40 kW",equipment,General,Machine hours,6.61,6.61,6.61,EUR,17,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 6.61, ""price_variants_count"": 1, ""avg_cost_per_use"": 11.93, ""avg_quantity_per_use"": 1.8041, ""used_in_rate_codes"": 17, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Protection of building structures and equipment from corrosion"", ""parent_department"": ""METALLIZED COATINGS"", ""parent_section"": ""Metallization during work on construction and installation sites and in workshops with aluminum wire"", ""machine_class"": ""Mechanized tools, devices, machines, other units"", ""electricity_kwh_per_hour"": 13.2, ""electricity_cost_per_unit"": 1.76}",True
DXME-RIME-RIRI_LIKAME,Electricity: consumption METO.RI kWh/machine-hour,electricity,Electricity,Machine hours,1.76,1.76,1.76,EUR,17,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 1.76, ""price_variants_count"": 1, ""avg_cost_per_use"": 3.18, ""avg_quantity_per_use"": 1.8041, ""used_in_rate_codes"": 17, ""row_type"": ""Electricity"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Protection of building structures and equipment from corrosion"", ""parent_department"": ""METALLIZED COATINGS"", ""parent_section"": ""Metallization during work on construction and installation sites and in workshops with aluminum wire"", ""machine_class"": ""Mechanized tools, devices, machines, other units"", ""electricity_kwh_per_hour"": 13.2, ""electricity_cost_per_unit"": 1.76}",True
KARI-PU-KARI-KARI_KAKAKAME,Granulated slag,material,General,t,18.05,18.05,18.05,EUR,17,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 18.05, ""price_variants_count"": 1, ""avg_cost_per_use"": 4.51, ""avg_quantity_per_use"": 0.2833, ""used_in_rate_codes"": 17, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Protection of building structures and equipment from corrosion"", ""parent_department"": ""CORROSION PROTECTION OF METAL STRUCTURES AND TECHNOLOGICAL PIPELINES"", ""parent_section"": ""Anti-corrosion protection of process pipelines with modified epoxy-alkyd compounds""}",True
MERI-RI-KATO-MEME_KAKARIPU,T-11-GSV-9 structural glass fabric,material,Glass & Glazing,m2,7.11,7.11,7.11,EUR,17,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 7.11, ""price_variants_count"": 1, ""avg_cost_per_use"": 102.7, ""avg_quantity_per_use"": 14.4506, ""used_in_rate_codes"": 17, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Structures in rural construction"", ""parent_department"": ""LIVESTOCK BUILDINGS"", ""parent_section"": ""Installation of manure removal channels""}",True
MEME-TO-KATO-MESA_KAKARIME,Plastic mounting wedges,material,General,100 pcs,11.18,11.18,11.18,EUR,17,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 11.18, ""price_variants_count"": 1, ""avg_cost_per_use"": 77.62, ""avg_quantity_per_use"": 6.9412, ""used_in_rate_codes"": 17, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Monolithic concrete and reinforced concrete structures"", ""parent_department"": ""OTHER WORKS"", ""parent_section"": ""Installation of anchor bolts""}",True
MENE-RI-KARI-MEKA_KAKARIME,"Brushwood, diameter from 2 to 10 cm",material,Wood & Timber,m3,81.45,81.45,81.45,EUR,17,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 81.45, ""price_variants_count"": 1, ""avg_cost_per_use"": 6470.61, ""avg_quantity_per_use"": 79.4388, ""used_in_rate_codes"": 17, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Wooden structures of hydraulic engineering structures"", ""parent_department"": ""SPUNDLET BRIDGES"", ""parent_section"": ""Installation of crossbars in soils""}",True
KAME-PU-KAME-KATO_KAMERITO,Three-cone bit III 93 T-CV,material,General,pcs,485.92,485.92,485.92,EUR,17,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 485.92, ""price_variants_count"": 1, ""avg_cost_per_use"": 2302.13, ""avg_quantity_per_use"": 4.7376, ""used_in_rate_codes"": 17, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Tunneling works"", ""parent_department"": ""MINING WORKS PERFORMED BY CONVENTIONAL METHODS"", ""parent_section"": ""TECHNICAL WELLS IN MINING WORKINGS""}",True
KAME-TO-KAPU-KAPU_KAKAKAME,Compressor oil,material,General,kg,3.83,3.83,3.83,EUR,17,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 3.83, ""price_variants_count"": 1, ""avg_cost_per_use"": 16.79, ""avg_quantity_per_use"": 4.3788, ""used_in_rate_codes"": 17, ""row_type"": ""Resource"", ""is_material"": true, ""is_machine"": false, ""is_abstract"": false, ""parent_category"": ""EQUIPMENT INSTALLATION"", ""parent_collection"": ""Process pipelines"", ""parent_department"": ""TECHNOLOGICAL PIPING IN WORKSHOPS"", ""parent_section"": ""PIPELINES MADE OF ALLOYED AND HIGH-ALLOY STEEL PIPES""}",True
DXME-KAME-KASA_MERIVO,Electricity: consumption DXNESA.RISA kW·h/machine-hour,electricity,Electricity,Machine hours,128.75,128.75,128.75,EUR,17,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 128.75, ""price_variants_count"": 1, ""avg_cost_per_use"": 319.51, ""avg_quantity_per_use"": 2.4818, ""used_in_rate_codes"": 17, ""row_type"": ""Electricity"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Earthworks"", ""parent_department"": ""MECHANIZED SOIL DEVELOPMENT (USING EXCAVATORS, SCRAPERS, BULLDOZERS, GRADERS, HYDRO-MECHANIZATION, E"", ""parent_section"": ""SOIL DEVELOPMENT BY EXCAVATORS IN A DUMP"", ""machine_class"": ""Earthmoving machinery"", ""machinist_grade"": ""9.3"", ""electricity_kwh_per_hour"": 965.25, ""electricity_cost_per_unit"": 128.75}",True
DXME-RIME-KALI_KAKAME,Machines for sharpening wooden floors,equipment,General,Machine hours,0.64,0.64,0.64,EUR,17,cwicr_extraction,ENG_TORONTO,"{""unit_rate_median"": 0.64, ""price_variants_count"": 1, ""avg_cost_per_use"": 5.6, ""avg_quantity_per_use"": 8.7365, ""used_in_rate_codes"": 17, ""row_type"": ""Resource"", ""is_material"": false, ""is_machine"": true, ""is_abstract"": false, ""parent_category"": ""CONSTRUCTION WORK"", ""parent_collection"": ""Floors"", ""parent_department"": ""FLOORS"", ""parent_section"": ""Installation of end-grain checkerboard coverings on a layer of mastic and sand"", ""machine_class"": ""Mechanized tools, devices, machines, other units"", ""electricity_kwh_per_hour"": 0.73, ""electricity_cost_per_unit"": 0.1}",True
